Year,Country Name Normalized,Axe1,Axe2,Total greenhouse gas emissions
2013,afghanistan,0.012474109211764518,0.008101880205556822,-0.043535021616637665
2014,afghanistan,0.012605560564607331,0.016287803989622214,-0.04371790524537205
2015,afghanistan,0.012621536847095653,0.012849071032703092,-0.0439032207472748
2016,afghanistan,0.01266369601344305,0.014615629114385228,-0.044206442048662045
2017,afghanistan,0.01268134591745149,0.01523253495801793,-0.04414674146384797
2018,afghanistan,0.012782067701106646,0.014150545911349672,-0.04433204351796119
2019,afghanistan,0.01282771497032303,0.012336557064489462,-0.044596264619176235
2020,afghanistan,0.012914142377314579,0.011746129352074707,-0.04481507918666615
2013,algeria,0.011776376702004092,0.048403118724368886,-0.010211713714861678
2014,algeria,0.011609431709628608,0.045965730832480275,-0.008657388528054925
2015,algeria,0.011646453972214511,0.0452903880569747,-0.007660542495696256
2016,algeria,0.01155231693295871,0.04796283309474793,-0.008877501826323343
2017,algeria,0.011450391853241652,0.04642794048532723,-0.00883289946643675
2018,algeria,0.01142040387420826,0.04568402464800902,-0.008154406535991993
2019,algeria,0.011491755171607457,0.045609480925379135,-0.007842612361264482
2020,algeria,0.012724881891812756,0.04879322139192736,-0.010697675680834497
2013,angola,0.011610554805682386,-0.03113307487021134,-0.029211273971974653
2014,angola,0.011774563077945667,-0.016051835080435416,-0.029412600073642454
2015,angola,0.011793173855981663,-0.029578044385214688,-0.028997535740283055
2016,angola,0.011829161194484246,-0.033987227984333686,-0.030430937966517878
2017,angola,0.01181662594822105,-0.029541046089547156,-0.03238364022361156
2018,angola,0.011880598705053843,-0.020898290469823794,-0.03386189810820764
2019,angola,0.011806531647241597,-0.030299989545687626,-0.03429917653201564
2020,angola,0.012411275764815264,-0.01765198168634853,-0.03654480222410605
2013,argentina,0.0074714906120821,0.006999855254339434,0.009402712509046068
2014,argentina,0.007529642941081817,4.991561028474509e-05,0.008663580862548526
2015,argentina,0.0071472655820762725,0.005780861459556004,0.009023597453483282
2016,argentina,0.00700569260100961,-0.00010817652875229771,0.008902140906166048
2017,argentina,0.006413208758960849,-0.0015544444777109499,0.00890878686772219
2018,argentina,0.006515787097741124,0.006427336612232252,0.008324318611906635
2019,argentina,0.006849723873451407,0.002272767512918718,0.007455641723147321
2020,argentina,0.010664804359705644,-0.0017620763779722817,0.005035139474232783
2013,australia,-0.012314329431227702,-0.019384189059315667,0.13788405401046366
2014,australia,-0.012071923609028815,-0.01261451493583706,0.13226884004036174
2015,australia,-0.011883689180964748,-0.011276617692894361,0.13027442562734834
2016,australia,-0.012331762002826136,-0.02176537588321181,0.12801222800519205
2017,australia,-0.013178278007450426,-0.013867056463654803,0.12788357866191957
2018,australia,-0.014009052343244755,-0.022866959628232805,0.12464581005397751
2019,australia,-0.013756305309441297,-0.01778414139026224,0.12148475108719753
2020,australia,-0.0009277279920646116,-0.01803651691574137,0.11256013733248342
2013,austria,0.008691100709871395,0.04926231146088658,0.021386854460590278
2014,austria,0.008571945395911672,0.050955993113446264,0.017810875657511348
2015,austria,0.00885405892122846,0.05050384251462238,0.018004637821600646
2016,austria,0.008748282809381879,0.05108129130635389,0.017723801981599688
2017,austria,0.008508888500578345,0.05168214584610945,0.019236125172813957
2018,austria,0.00872541936398499,0.0493812500126209,0.016521060305542165
2019,austria,0.004726977709775573,0.05096687389734391,0.017229784269099442
2020,austria,0.009910684169044823,0.05239680473612739,0.012016034695638706
2013,azerbaijan,0.012157005301939089,-0.012920092027776208,-0.010598060991349391
2014,azerbaijan,0.011480471621549844,-0.016235779906958285,-0.009729727364931596
2015,azerbaijan,0.010981160633186627,-0.022197267738559224,-0.01030469788301237
2016,azerbaijan,0.011055544324253612,-0.013396579964197852,-0.010913650024088584
2017,azerbaijan,0.011960506576443018,-0.022594803866286383,-0.011465240425784557
2018,azerbaijan,0.012031602054708039,-0.017849708221254708,-0.011284613304707498
