Year,Nombre de passagers,Country Name Normalized,Departs de Transporteur,fret(TonnesMbyKm),Total annual CO₂ emissions from aviation,Carburant utilise,PIB
2013,1498996.0,costa rica,42831.0,13.537781,557977.9,133112.13,50949668841.6696
2014,1427414.0,costa rica,50239.0,11.8182973850146,571865.25,114332.34,52016408854.2658
2015,1525922.0,costa rica,41544.0,9.28416,591708.4,128069.91,56441920820.5194
2016,1572605.0,costa rica,46405.0,6.027344,699609.2,129368.0,58847019609.6549
2017,1822880.0,costa rica,48971.0,10.552031,682916.8,127049.0,60516044656.5206
2018,1950049.0,costa rica,40014.0,11.13032,732715.3,131757.16,62420164991.5374
2019,2033146.0,costa rica,44878.0,10.8,806127.4,112736.91,64417670521.3545
2020,455830.6,costa rica,11696.8,1.613892,337362.0,131026.82,62395610760.0492
2014,237120.0,cote d'ivoire,4032.0,4.71912,225748.4,104936.98,48843005613.7091
2015,642893.0,cote d'ivoire,9068.0,0.983368072842825,238003.17,113214.33,45815005169.2651
2016,667062.0,cote d'ivoire,9463.0,1.20223033825879,310133.97,106883.22,48407761036.8238
2017,808471.0,cote d'ivoire,14884.0,5.41940666666667,347789.78,116838.33,52512343996.69
2018,825257.0,cote d'ivoire,14666.0,4.16026898442412,378570.4,109107.86,58522477786.6889
2019,748540.0,cote d'ivoire,16616.0,9.166862,171286.72,116533.05,60382894697.3557
2013,1716702.0,croatia,24305.0,1.47223,314342.88,43121.22,59852401272.3204
2014,1756070.0,croatia,25161.0,0.97639,329687.5,50163.85,59612144078.4133
2015,1782666.0,croatia,25183.0,0.77532,361921.03,46822.73,51005200669.6941
2016,1875433.0,croatia,26171.0,0.65658,414682.94,50845.83,52654855638.1057
2017,2057804.0,croatia,26809.0,0.58275,504167.34,47705.45,56186190437.9959
2018,2093577.0,croatia,27189.0,0.52979,587313.0,51023.9,61668130122.5878
2019,2108591.0,croatia,27711.0,0.4406,677025.9,46864.63,61467582193.6824
2020,608458.0,croatia,12838.0,0.17935,203149.86,46682.18,57963370885.0798
2013,1395072.0,cuba,23292.0,16.930008,903946.56,21407.18,77148000000.0
2014,1135200.0,cuba,15468.0,17.313204,942515.7,19954.59,80656100000.0
2015,1294458.0,cuba,17592.0,20.9196451071138,1098071.2,20546.13,87132800000.0
2016,1333078.0,cuba,20058.0,26.0034145040302,1354024.0,23126.26,91370407863.7
2017,942785.0,cuba,13144.0,47.76014,1584596.9,19973.02,96850649691.7406
2018,563540.0,cuba,8830.0,17.76123,1394514.9,21454.96,100050036096.123
2019,457130.0,cuba,7146.0,13.708525,1158585.5,23640.79,103427600000.0
2015,23405.0,cyprus,306.0,0.23060058,765053.0,105960.48,19909278416.8575
2016,224653.0,cyprus,2994.0,0.285895446767606,830384.75,114471.68,21046462280.5979
2017,711554.0,cyprus,8698.0,0.34031950189,925327.2,98085.32,22946570628.7576
2013,20004.0,dominican republic,1908.0,0.0,1455697.6,11776.93,62682159338.0354
2019,113752.0,dominican republic,7062.0,0.0,1885430.6,11762.26,88941372558.2397
2013,5157521.0,ecuador,58687.0,112.059962,903871.1,72376.46,96570334000.0
2014,5675088.0,ecuador,61248.0,82.101,941528.2,77166.04,102717794000.0
2015,5677816.0,ecuador,61649.0,64.037777,888439.2,71334.45,97209558000.0
2016,5099726.0,ecuador,55430.0,60.17416,911739.75,78643.3,97671433000.0
2017,5121235.0,ecuador,50837.0,57.68029,873971.6,66018.53,104467486000.0
2018,5365261.0,ecuador,53033.0,64.20469,868924.94,76739.86,107478962000.0
2019,4827978.0,ecuador,50575.0,50.80511,891501.3,67307.46,107595829000.0
2020,1146368.544,ecuador,12056.18,10.604353816,436681.2,74479.22,95865472000.0
2013,5671501.0,ethiopia,68131.0,790.74339,1125859.9,152140.37,47648276605.0123
2014,6274582.0,ethiopia,71166.0,950.1573,1233026.4,149550.86,55612228233.5179
2015,7074779.0,ethiopia,83940.0,1228.73832,1463965.8,151674.12,64589328550.5953
2016,8242114.0,ethiopia,94330.0,1500.14753,1671405.1,132301.25,74296745207.8721
2017,9566378.0,ethiopia,99263.0,2076.18502,1810178.0,128371.92,81770886825.6048
2018,11501244.0,ethiopia,110971.0,2089.27754,2089555.5,132284.73,84269196625.8784
2019,12631216.0,ethiopia,119542.0,2450.27296,2265817.5,134721.13,95912607722.3032
2020,4940183.0,ethiopia,72194.0,2897.1341,1183888.1,130814.39,107657734392.446
2013,10467321.0,finland,138987.0,660.802462,1785723.1,37041.51,270268036626.275
2014,10992792.0,finland,140256.0,667.07538,1817864.5,35844.7,273478528954.901
2015,13035848.0,finland,153849.0,713.484,1934752.5,36000.82,233210733506.25
2016,13754228.0,finland,162119.0,761.85394,1977577.8,33531.23,238777818792.608
2017,12209646.0,finland,118856.0,852.01263,2075602.8,36371.66,253846138440.0
2018,13364839.0,finland,125804.0,957.63859,2352636.8,39427.58,273869255596.078
2019,14610547.0,finland,131089.0,1067.31511,2434024.2,38137.04,267014821129.411
2020,3500299.0,finland,47394.0,480.37919,864716.9,36541.35,270000311606.226
2013,63925151.0,france,641440.0,4327.126,19392612.0,158207.86,2816077607875.26
2014,63434263.0,france,610197.0,4151.293,19952844.0,149246.67,2861236112552.42
2015,65039503.0,france,607168.0,4098.31,20173416.0,132751.49,2442483452642.5
2016,65362743.0,france,599427.0,4155.407,20270432.0,134542.55,2470407619777.13
2017,68316473.0,france,599256.0,4260.597,20773766.0,133716.43,2588868323334.71
2018,70188028.0,france,597412.0,4443.789,21779800.0,145032.68,2781576320884.39
2019,71289277.0,france,598374.0,4522.586,22477580.0,142797.96,2722793515171.76
2020,24956343.0,france,268744.0,2467.943,10026056.0,160369.04,2647926055110.05
2013,0.0,gabon,0.0,0.0,149613.84,29401.49,17595744798.3398
2013,189316.0,georgia,2933.0,0.4,169672.5,33478.7,17517660143.6859
2014,196589.0,georgia,3317.0,0.4162,185351.06,34760.0,17966015109.3043
2015,232263.0,georgia,3959.0,0.18504,197506.97,36358.24,15223796148.8396
2016,220448.0,georgia,3199.0,0.18050796,222362.52,34344.6,15444548901.9637
2017,341751.0,georgia,5061.0,0.4784,306581.53,31998.84,16473125375.0684
2018,516034.0,georgia,7108.0,0.7509,403434.28,33297.38,17902544880.6471
2019,509913.0,georgia,6587.0,0.640604,365665.28,34625.93,17638337116.9126
2020,72906.0,georgia,774.0,0.1347,93668.69,35797.52,16010869215.68
2013,109062321.51578,germany,954874.0,7335.69940204315,22457504.0,107407.3,3808086291482.36
2014,112353098.59355,germany,946082.0,7184.14620802563,23227958.0,104915.52,3965800686309.79
2015,117222850.0,germany,967453.0,6986.405444999,24086176.0,116424.84,3423568450957.03
2016,116713587.0,germany,962803.0,6942.706331998,24827734.0,123172.83,3537784107980.55
2017,114160685.0,germany,955827.0,7901.65234423,25240464.0,104676.34,3763092263752.95
2018,109796202.17431,germany,922648.643490196,7969.86364,25708864.0,119982.88,4052008447223.53
2019,109633750.727,germany,896647.181,7763.61921423928,26098392.0,120315.48,3957208055215.68
2020,25758450.0,germany,312142.0,9166.3712826,9669638.0,114804.9,3940142541354.1
2013,396372.0,ghana,16560.0,1.31802,518065.4,141355.44,62824629066.0408
2014,407544.0,ghana,16764.0,1.332792,568565.8,123793.83,54783319817.3705
2015,390457.0,ghana,20539.0,0.844630332,539204.9,136960.85,49406010054.2663
2016,359516.0,ghana,21628.0,0.846429394,587389.06,147261.97,56164929304.8754
2017,681691.0,ghana,21224.0,0.262714068,593975.6,146467.36,60405924078.7278
2018,467624.0,ghana,11635.0,0.0,588390.94,141487.15,67298914624.3723
2013,8761116.0,greece,103800.0,0.593232,1956750.5,43085.08,236556279640.705
2014,11152236.0,greece,134160.0,19.359432,2305529.8,44031.82,233911581521.062
2015,11237054.0,greece,124014.0,26.10771098,2676013.8,41313.32,194567373678.099
2016,12689082.0,greece,128454.0,23.993,2937505.0,45599.23,193097239005.87
2017,13852857.0,greece,135281.0,23.525,3161480.5,39973.29,200381103984.298
2018,15125933.5152598,greece,144040.0,21.909,3662889.8,44675.4,213298873494.394
2019,16124738.33,greece,151848.0,23.90576,3897872.5,40778.42,207305649887.019
2020,5647917.0,greece,75393.0,10.09844,1481998.2,44900.84,191362985554.861
2013,78264.0,guatemala,2556.0,0.0,183819.69,31660.19,52996446269.442
2014,69768.0,guatemala,2214.0,0.09123,201151.28,31279.99,57852153058.502
